,Datos,Datos Ch2,Tiempo,Tiempo Ch2,Tiempo de integración [ms],Polarizacion grande,Polarizacion chica,Resistencia
0,-0.0125,-0.0125,-0.002,0.004,2.5,50.0,0.0,50.0
1,-0.012490000000000001,-0.012490000000000001,-0.002,0.004,,,,
2,-0.012480000000000002,-0.012480000000000002,-0.002,0.004,,,,
3,-0.01247,-0.01247,-0.008,0.008,,,,
4,-0.01246,-0.01246,0.004,-0.02,,,,
5,-0.012450000000000001,-0.012450000000000001,-0.002,0.004,,,,
6,-0.012440000000000001,-0.012440000000000001,0.004,-0.004,,,,
7,-0.01243,-0.01243,-0.002,0.0,,,,
8,-0.01242,-0.01242,-0.006,0.004,,,,
9,-0.012410000000000001,-0.012410000000000001,0.004,-0.004,,,,
10,-0.012400000000000001,-0.012400000000000001,0.0,-0.004,,,,
11,-0.01239,-0.01239,0.0,-0.004,,,,
12,-0.01238,-0.01238,-0.006,0.016,,,,
13,-0.01237,-0.01237,0.002,0.0,,,,
14,-0.012360000000000001,-0.012360000000000001,0.004,0.004,,,,
15,-0.01235,-0.01235,-0.024,0.012,,,,
16,-0.01234,-0.01234,-0.004,0.024,,,,
17,-0.01233,-0.01233,0.0,0.008,,,,
18,-0.012320000000000001,-0.012320000000000001,-0.002,0.004,,,,
19,-0.012310000000000001,-0.012310000000000001,-0.008,-0.004,,,,
20,-0.0123,-0.0123,0.0,0.004,,,,
21,-0.01229,-0.01229,0.002,-0.004,,,,
22,-0.012280000000000001,-0.012280000000000001,0.006,0.0,,,,
23,-0.012270000000000001,-0.012270000000000001,0.006,-0.004,,,,
24,-0.01226,-0.01226,-0.006,0.012,,,,
25,-0.01225,-0.01225,-0.004,0.012,,,,
26,-0.012240000000000001,-0.012240000000000001,-0.002,0.004,,,,
27,-0.012230000000000001,-0.012230000000000001,0.002,0.004,,,,
28,-0.01222,-0.01222,-0.004,-0.004,,,,
29,-0.01221,-0.01221,-0.012,0.016,,,,
30,-0.0122,-0.0122,0.0,0.0,,,,
31,-0.012190000000000001,-0.012190000000000001,0.008,0.0,,,,
32,-0.01218,-0.01218,0.004,-0.004,,,,
33,-0.01217,-0.01217,0.004,0.0,,,,
34,-0.01216,-0.01216,0.004,0.004,,,,
35,-0.012150000000000001,-0.012150000000000001,0.004,0.0,,,,
36,-0.012140000000000001,-0.012140000000000001,-0.008,0.004,,,,
37,-0.01213,-0.01213,-0.004,0.008,,,,
38,-0.01212,-0.01212,-0.002,0.004,,,,
39,-0.012110000000000001,-0.012110000000000001,0.002,0.004,,,,
40,-0.012100000000000001,-0.012100000000000001,-0.03,-0.008,,,,
41,-0.01209,-0.01209,0.004,-0.004,,,,
42,-0.01208,-0.01208,0.002,0.0,,,,
43,-0.01207,-0.01207,0.004,0.0,,,,
44,-0.012060000000000001,-0.012060000000000001,0.004,0.004,,,,
45,-0.01205,-0.01205,0.004,-0.004,,,,
46,-0.01204,-0.01204,0.02,-0.052000000000000005,,,,
47,-0.01203,-0.01203,-0.002,0.004,,,,
48,-0.012020000000000001,-0.012020000000000001,-0.004,0.0,,,,
49,-0.01201,-0.01201,-0.004,0.004,,,,
50,-0.012,-0.012,0.008,0.004,,,,
51,-0.01199,-0.01199,-0.002,0.0,,,,
52,-0.011980000000000001,-0.011980000000000001,-0.004,-0.008,,,,
53,-0.011970000000000001,-0.011970000000000001,0.01,-0.008,,,,
54,-0.01196,-0.01196,-0.002,0.0,,,,
55,-0.01195,-0.01195,0.0,0.0,,,,
56,-0.011940000000000001,-0.011940000000000001,0.0,0.0,,,,
57,-0.011930000000000001,-0.011930000000000001,-0.018000000000000002,-0.004,,,,
58,-0.01192,-0.01192,0.004,-0.012,,,,
59,-0.01191,-0.01191,0.002,0.0,,,,
60,-0.0119,-0.0119,0.002,0.0,,,,
61,-0.011890000000000001,-0.011890000000000001,0.042,-0.004,,,,
62,-0.01188,-0.01188,0.01,-0.008,,,,
63,-0.01187,-0.01187,0.004,-0.004,,,,
64,-0.01186,-0.01186,0.002,0.004,,,,
65,-0.011850000000000001,-0.011850000000000001,0.002,0.004,,,,
66,-0.01184,-0.01184,0.006,0.0,,,,
67,-0.01183,-0.01183,-0.004,0.0,,,,
68,-0.01182,-0.01182,-0.004,0.012,,,,
69,-0.011810000000000001,-0.011810000000000001,-0.004,0.012,,,,
70,-0.011800000000000001,-0.011800000000000001,0.006,0.012,,,,
71,-0.01179,-0.01179,0.014,0.004,,,,
72,-0.01178,-0.01178,0.004,0.052000000000000005,,,,
73,-0.011770000000000001,-0.011770000000000001,0.0,0.004,,,,
74,-0.011760000000000001,-0.011760000000000001,0.004,0.012,,,,
75,-0.01175,-0.01175,0.004,0.0,,,,
76,-0.01174,-0.01174,0.002,0.0,,,,
77,-0.01173,-0.01173,-0.002,-0.024,,,,
78,-0.011720000000000001,-0.011720000000000001,-0.008,0.008,,,,
79,-0.01171,-0.01171,0.01,0.004,,,,
80,-0.0117,-0.0117,0.004,0.012,,,,
81,-0.01169,-0.01169,0.004,0.004,,,,
82,-0.011680000000000001,-0.011680000000000001,-0.01,-0.008,,,,
83,-0.01167,-0.01167,0.012,0.0,,,,
84,-0.01166,-0.01166,0.002,0.004,,,,
85,-0.01165,-0.01165,-0.002,-0.004,,,,
86,-0.011640000000000001,-0.011640000000000001,0.002,0.004,,,,
87,-0.011630000000000001,-0.011630000000000001,0.006,0.008,,,,
88,-0.01162,-0.01162,-0.002,0.004,,,,
89,-0.01161,-0.01161,0.0,0.004,,,,
90,-0.011600000000000001,-0.011600000000000001,-0.002,-0.008,,,,
91,-0.011590000000000001,-0.011590000000000001,0.0,0.0,,,,
92,-0.01158,-0.01158,0.0,-0.004,,,,
93,-0.01157,-0.01157,0.004,-0.008,,,,
94,-0.01156,-0.01156,0.004,-0.012,,,,
95,-0.011550000000000001,-0.011550000000000001,0.01,0.004,,,,
96,-0.01154,-0.01154,0.004,0.004,,,,
97,-0.01153,-0.01153,0.002,0.004,,,,
98,-0.01152,-0.01152,0.03,0.024,,,,
99,-0.011510000000000001,-0.011510000000000001,-0.004,0.008,,,,
100,-0.0115,-0.0115,-0.004,0.012,,,,
101,-0.01149,-0.01149,-0.006,0.004,,,,
102,-0.01148,-0.01148,0.002,0.008,,,,
103,-0.011470000000000001,-0.011470000000000001,-0.006,0.012,,,,
104,-0.011460000000000001,-0.011460000000000001,0.0,0.008,,,,
105,-0.01145,-0.01145,0.0,0.008,,,,
106,-0.01144,-0.01144,-0.002,0.004,,,,
107,-0.011430000000000001,-0.011430000000000001,0.004,0.012,,,,
108,-0.011420000000000001,-0.011420000000000001,0.0,-0.004,,,,
109,-0.01141,-0.01141,0.004,0.0,,,,
110,-0.0114,-0.0114,0.0,0.008,,,,
111,-0.01139,-0.01139,-0.002,0.016,,,,
112,-0.011380000000000001,-0.011380000000000001,-0.004,0.008,,,,
113,-0.01137,-0.01137,0.002,0.004,,,,
114,-0.01136,-0.01136,0.0,0.004,,,,
115,-0.01135,-0.01135,-0.002,0.008,,,,
116,-0.011340000000000001,-0.011340000000000001,0.004,0.008,,,,
117,-0.01133,-0.01133,0.004,-0.004,,,,
118,-0.01132,-0.01132,-0.002,0.0,,,,
119,-0.01131,-0.01131,0.048,0.016,,,,
120,-0.011300000000000001,-0.011300000000000001,0.002,0.0,,,,
121,-0.011290000000000001,-0.011290000000000001,0.004,-0.004,,,,
122,-0.01128,-0.01128,-0.002,0.0,,,,
123,-0.01127,-0.01127,0.0,0.004,,,,
124,-0.011260000000000001,-0.011260000000000001,-0.004,0.008,,,,
125,-0.011250000000000001,-0.011250000000000001,-0.006,0.0,,,,
126,-0.01124,-0.01124,0.004,0.012,,,,
127,-0.01123,-0.01123,0.008,0.012,,,,
128,-0.01122,-0.01122,0.004,0.012,,,,
129,-0.011210000000000001,-0.011210000000000001,-0.006,-0.004,,,,
130,-0.0112,-0.0112,0.006,0.0,,,,
131,-0.01119,-0.01119,0.0,0.004,,,,
132,-0.01118,-0.01118,0.004,0.008,,,,
133,-0.011170000000000001,-0.011170000000000001,-0.002,0.0,,,,
134,-0.01116,-0.01116,0.004,-0.004,,,,
135,-0.01115,-0.01115,0.004,0.004,,,,
136,-0.01114,-0.01114,-0.022,0.0,,,,
137,-0.011130000000000001,-0.011130000000000001,0.0,0.012,,,,
138,-0.011120000000000001,-0.011120000000000001,0.004,0.004,,,,
139,-0.01111,-0.01111,-0.002,0.008,,,,
140,-0.0111,-0.0111,0.008,-0.012,,,,
141,-0.011090000000000001,-0.011090000000000001,-0.008,0.0,,,,
142,-0.011080000000000001,-0.011080000000000001,-0.002,0.0,,,,
143,-0.01107,-0.01107,0.0,0.004,,,,
144,-0.01106,-0.01106,0.0,-0.012,,,,
145,-0.01105,-0.01105,0.002,0.008,,,,
146,-0.011040000000000001,-0.011040000000000001,-0.002,0.008,,,,
147,-0.01103,-0.01103,0.0,-0.004,,,,
148,-0.01102,-0.01102,0.002,0.008,,,,
149,-0.01101,-0.01101,-0.008,0.004,,,,
150,-0.011000000000000001,-0.011000000000000001,-0.006,0.0,,,,
151,-0.01099,-0.01099,-0.002,0.004,,,,
152,-0.01098,-0.01098,0.0,-0.004,,,,
153,-0.01097,-0.01097,-0.002,0.0,,,,
154,-0.010960000000000001,-0.010960000000000001,-0.006,0.008,,,,
155,-0.010950000000000001,-0.010950000000000001,0.004,-0.004,,,,
156,-0.01094,-0.01094,0.0,0.0,,,,
157,-0.01093,-0.01093,0.024,0.004,,,,
158,-0.010920000000000001,-0.010920000000000001,-0.01,0.028,,,,
159,-0.010910000000000001,-0.010910000000000001,0.002,0.0,,,,
160,-0.0109,-0.0109,0.002,0.004,,,,
161,-0.01089,-0.01089,0.042,0.048,,,,
162,-0.01088,-0.01088,-0.004,0.004,,,,
163,-0.010870000000000001,-0.010870000000000001,-0.002,0.004,,,,
164,-0.01086,-0.01086,0.004,0.0,,,,
165,-0.01085,-0.01085,0.008,0.0,,,,
166,-0.01084,-0.01084,0.008,0.004,,,,
167,-0.010830000000000001,-0.010830000000000001,0.0,0.008,,,,
168,-0.01082,-0.01082,0.002,0.0,,,,
169,-0.01081,-0.01081,0.004,-0.004,,,,
170,-0.0108,-0.0108,0.004,0.0,,,,
171,-0.010790000000000001,-0.010790000000000001,0.002,0.008,,,,
