,Mediciónes,Tiempo,Tiempo de integración [ms],Polarizacion grande,Polarizacion chica,Resistencia,Voltaje disco
0,-0.0008,-0.00025,0.05,270,0,461,2.9
1,0.002,-0.0002498,0.05,270,0,461,2.9
2,-0.0016,-0.0002496,0.05,270,0,461,2.9
3,-0.0008,-0.0002494,0.05,270,0,461,2.9
4,0.0016,-0.0002492,0.05,270,0,461,2.9
5,0.0,-0.000249,0.05,270,0,461,2.9
6,0.0,-0.00024880000000000003,0.05,270,0,461,2.9
7,-0.0008,-0.0002486,0.05,270,0,461,2.9
8,-0.0008,-0.0002484,0.05,270,0,461,2.9
9,0.0004,-0.0002482,0.05,270,0,461,2.9
10,0.0024000000000000002,-0.000248,0.05,270,0,461,2.9
11,0.0012000000000000001,-0.0002478,0.05,270,0,461,2.9
12,-0.0012000000000000001,-0.0002476,0.05,270,0,461,2.9
13,-0.0012000000000000001,-0.0002474,0.05,270,0,461,2.9
14,-0.0008,-0.0002472,0.05,270,0,461,2.9
15,0.0008,-0.000247,0.05,270,0,461,2.9
16,0.0004,-0.0002468,0.05,270,0,461,2.9
17,-0.0012000000000000001,-0.00024660000000000003,0.05,270,0,461,2.9
18,-0.0024000000000000002,-0.0002464,0.05,270,0,461,2.9
19,-0.0016,-0.0002462,0.05,270,0,461,2.9
20,0.0004,-0.000246,0.05,270,0,461,2.9
21,0.0016,-0.0002458,0.05,270,0,461,2.9
22,0.002,-0.0002456,0.05,270,0,461,2.9
23,-0.0004,-0.0002454,0.05,270,0,461,2.9
24,0.0012000000000000001,-0.0002452,0.05,270,0,461,2.9
25,0.0016,-0.000245,0.05,270,0,461,2.9
26,0.0036000000000000003,-0.0002448,0.05,270,0,461,2.9
27,0.0012000000000000001,-0.0002446,0.05,270,0,461,2.9
28,0.002,-0.00024440000000000003,0.05,270,0,461,2.9
29,-0.0012000000000000001,-0.0002442,0.05,270,0,461,2.9
30,0.0004,-0.000244,0.05,270,0,461,2.9
31,0.0012000000000000001,-0.00024380000000000002,0.05,270,0,461,2.9
32,0.002,-0.0002436,0.05,270,0,461,2.9
33,-0.0016,-0.0002434,0.05,270,0,461,2.9
34,-0.002,-0.0002432,0.05,270,0,461,2.9
35,-0.0016,-0.000243,0.05,270,0,461,2.9
36,0.0008,-0.0002428,0.05,270,0,461,2.9
37,0.002,-0.00024260000000000002,0.05,270,0,461,2.9
38,0.0004,-0.0002424,0.05,270,0,461,2.9
39,-0.0008,-0.0002422,0.05,270,0,461,2.9
40,0.0004,-0.000242,0.05,270,0,461,2.9
41,0.0004,-0.0002418,0.05,270,0,461,2.9
42,0.004,-0.00024160000000000002,0.05,270,0,461,2.9
43,0.002,-0.0002414,0.05,270,0,461,2.9
44,0.0004,-0.0002412,0.05,270,0,461,2.9
45,-0.0004,-0.000241,0.05,270,0,461,2.9
46,0.0,-0.0002408,0.05,270,0,461,2.9
47,-0.0064,-0.0002406,0.05,270,0,461,2.9
48,0.0016,-0.00024040000000000002,0.05,270,0,461,2.9
49,-0.0004,-0.0002402,0.05,270,0,461,2.9
50,-0.002,-0.00024,0.05,270,0,461,2.9
51,-0.0016,-0.0002398,0.05,270,0,461,2.9
52,-0.0008,-0.0002396,0.05,270,0,461,2.9
53,-0.0004,-0.00023940000000000002,0.05,270,0,461,2.9
54,0.0008,-0.00023920000000000001,0.05,270,0,461,2.9
55,-0.0008,-0.000239,0.05,270,0,461,2.9
56,-0.0016,-0.0002388,0.05,270,0,461,2.9
57,-0.0004,-0.0002386,0.05,270,0,461,2.9
58,0.0024000000000000002,-0.0002384,0.05,270,0,461,2.9
59,0.0004,-0.00023820000000000002,0.05,270,0,461,2.9
60,0.0024000000000000002,-0.000238,0.05,270,0,461,2.9
61,-0.0004,-0.0002378,0.05,270,0,461,2.9
62,0.0004,-0.0002376,0.05,270,0,461,2.9
63,0.002,-0.0002374,0.05,270,0,461,2.9
64,0.0016,-0.00023720000000000002,0.05,270,0,461,2.9
65,-0.0024000000000000002,-0.00023700000000000001,0.05,270,0,461,2.9
66,-0.0108,-0.0002368,0.05,270,0,461,2.9
67,-0.0028,-0.0002366,0.05,270,0,461,2.9
68,-0.0004,-0.0002364,0.05,270,0,461,2.9
69,0.0004,-0.0002362,0.05,270,0,461,2.9
70,0.0,-0.00023600000000000002,0.05,270,0,461,2.9
71,-0.002,-0.0002358,0.05,270,0,461,2.9
72,-0.0016,-0.0002356,0.05,270,0,461,2.9
73,-0.0016,-0.0002354,0.05,270,0,461,2.9
74,0.0,-0.0002352,0.05,270,0,461,2.9
75,0.002,-0.00023500000000000002,0.05,270,0,461,2.9
76,0.0008,-0.00023480000000000002,0.05,270,0,461,2.9
77,0.0008,-0.0002346,0.05,270,0,461,2.9
78,0.0024000000000000002,-0.0002344,0.05,270,0,461,2.9
79,0.0008,-0.0002342,0.05,270,0,461,2.9
80,0.0012000000000000001,-0.000234,0.05,270,0,461,2.9
81,0.0,-0.0002338,0.05,270,0,461,2.9
82,0.0004,-0.0002336,0.05,270,0,461,2.9
83,-0.0008,-0.0002334,0.05,270,0,461,2.9
84,0.0004,-0.0002332,0.05,270,0,461,2.9
85,0.0004,-0.000233,0.05,270,0,461,2.9
86,0.0004,-0.00023280000000000002,0.05,270,0,461,2.9
87,-0.0024000000000000002,-0.00023260000000000002,0.05,270,0,461,2.9
88,-0.002,-0.0002324,0.05,270,0,461,2.9
89,-0.0004,-0.0002322,0.05,270,0,461,2.9
90,-0.0004,-0.000232,0.05,270,0,461,2.9
91,0.0,-0.0002318,0.05,270,0,461,2.9
92,0.0028,-0.0002316,0.05,270,0,461,2.9
93,0.0008,-0.00023140000000000001,0.05,270,0,461,2.9
94,0.0012000000000000001,-0.0002312,0.05,270,0,461,2.9
95,0.0016,-0.000231,0.05,270,0,461,2.9
96,0.0016,-0.0002308,0.05,270,0,461,2.9
97,0.0016,-0.0002306,0.05,270,0,461,2.9
98,0.0036000000000000003,-0.00023040000000000002,0.05,270,0,461,2.9
99,0.0012000000000000001,-0.0002302,0.05,270,0,461,2.9
100,0.0,-0.00023,0.05,270,0,461,2.9
101,-0.0008,-0.0002298,0.05,270,0,461,2.9
102,0.0,-0.0002296,0.05,270,0,461,2.9
103,-0.0004,-0.0002294,0.05,270,0,461,2.9
104,0.0012000000000000001,-0.00022920000000000001,0.05,270,0,461,2.9
105,-0.0016,-0.000229,0.05,270,0,461,2.9
106,-0.0004,-0.0002288,0.05,270,0,461,2.9
107,-0.002,-0.0002286,0.05,270,0,461,2.9
108,0.0008,-0.0002284,0.05,270,0,461,2.9
109,0.0,-0.00022820000000000002,0.05,270,0,461,2.9
110,0.0,-0.000228,0.05,270,0,461,2.9
111,0.0,-0.0002278,0.05,270,0,461,2.9
112,-0.0004,-0.0002276,0.05,270,0,461,2.9
113,0.0024000000000000002,-0.0002274,0.05,270,0,461,2.9
114,0.002,-0.0002272,0.05,270,0,461,2.9
115,0.0016,-0.00022700000000000002,0.05,270,0,461,2.9
116,0.0008,-0.0002268,0.05,270,0,461,2.9
117,-0.002,-0.0002266,0.05,270,0,461,2.9
118,0.0008,-0.0002264,0.05,270,0,461,2.9
119,0.0012000000000000001,-0.0002262,0.05,270,0,461,2.9
120,0.0,-0.00022600000000000002,0.05,270,0,461,2.9
121,-0.002,-0.0002258,0.05,270,0,461,2.9
122,-0.0028,-0.0002256,0.05,270,0,461,2.9
123,-0.0032,-0.0002254,0.05,270,0,461,2.9
124,0.0004,-0.0002252,0.05,270,0,461,2.9
125,0.002,-0.000225,0.05,270,0,461,2.9
126,0.0044,-0.00022480000000000002,0.05,270,0,461,2.9
127,-0.0016,-0.0002246,0.05,270,0,461,2.9
128,-0.0004,-0.0002244,0.05,270,0,461,2.9
129,-0.0004,-0.0002242,0.05,270,0,461,2.9
130,0.0024000000000000002,-0.000224,0.05,270,0,461,2.9
131,0.0012000000000000001,-0.00022380000000000002,0.05,270,0,461,2.9
132,0.0,-0.00022360000000000001,0.05,270,0,461,2.9
133,-0.0036000000000000003,-0.0002234,0.05,270,0,461,2.9
134,0.0,-0.0002232,0.05,270,0,461,2.9
135,0.0,-0.000223,0.05,270,0,461,2.9
136,0.0016,-0.0002228,0.05,270,0,461,2.9
137,-0.0016,-0.00022260000000000002,0.05,270,0,461,2.9
138,-0.0032,-0.0002224,0.05,270,0,461,2.9
139,-0.002,-0.0002222,0.05,270,0,461,2.9
140,-0.0032,-0.000222,0.05,270,0,461,2.9
141,0.0,-0.0002218,0.05,270,0,461,2.9
142,0.002,-0.00022160000000000002,0.05,270,0,461,2.9
143,-0.0016,-0.00022140000000000001,0.05,270,0,461,2.9
144,-0.0016,-0.0002212,0.05,270,0,461,2.9
145,0.0,-0.000221,0.05,270,0,461,2.9
146,0.0024000000000000002,-0.0002208,0.05,270,0,461,2.9
147,0.0024000000000000002,-0.0002206,0.05,270,0,461,2.9
148,0.0016,-0.00022040000000000002,0.05,270,0,461,2.9
149,0.0,-0.0002202,0.05,270,0,461,2.9
150,0.0,-0.00022,0.05,270,0,461,2.9
151,0.0004,-0.0002198,0.05,270,0,461,2.9
152,0.002,-0.0002196,0.05,270,0,461,2.9
153,-0.002,-0.00021940000000000002,0.05,270,0,461,2.9
154,0.0,-0.00021920000000000002,0.05,270,0,461,2.9
155,-0.0028,-0.000219,0.05,270,0,461,2.9
156,-0.0004,-0.0002188,0.05,270,0,461,2.9
157,0.0004,-0.0002186,0.05,270,0,461,2.9
158,0.0016,-0.0002184,0.05,270,0,461,2.9
159,-0.0008,-0.0002182,0.05,270,0,461,2.9
160,-0.0008,-0.000218,0.05,270,0,461,2.9
161,-0.0004,-0.0002178,0.05,270,0,461,2.9
162,0.0024000000000000002,-0.0002176,0.05,270,0,461,2.9
163,0.0028,-0.0002174,0.05,270,0,461,2.9
164,0.002,-0.00021720000000000002,0.05,270,0,461,2.9
165,0.0004,-0.00021700000000000002,0.05,270,0,461,2.9
166,0.0016,-0.0002168,0.05,270,0,461,2.9
167,0.0008,-0.0002166,0.05,270,0,461,2.9
168,0.0024000000000000002,-0.0002164,0.05,270,0,461,2.9
169,0.002,-0.0002162,0.05,270,0,461,2.9
170,-0.0004,-0.000216,0.05,270,0,461,2.9
171,-0.0016,-0.00021580000000000001,0.05,270,0,461,2.9
172,0.0004,-0.0002156,0.05,270,0,461,2.9
173,-0.0016,-0.0002154,0.05,270,0,461,2.9
174,0.0004,-0.0002152,0.05,270,0,461,2.9
175,0.0008,-0.00021500000000000002,0.05,270,0,461,2.9
176,0.0,-0.00021480000000000002,0.05,270,0,461,2.9
177,-0.004,-0.0002146,0.05,270,0,461,2.9
178,0.0008,-0.0002144,0.05,270,0,461,2.9
179,0.0008,-0.0002142,0.05,270,0,461,2.9
180,0.002,-0.000214,0.05,270,0,461,2.9
181,0.0016,-0.0002138,0.05,270,0,461,2.9
182,0.0016,-0.00021360000000000001,0.05,270,0,461,2.9
183,0.0012000000000000001,-0.0002134,0.05,270,0,461,2.9
184,0.002,-0.0002132,0.05,270,0,461,2.9
185,0.0012000000000000001,-0.000213,0.05,270,0,461,2.9
186,0.0016,-0.00021280000000000002,0.05,270,0,461,2.9
187,-0.002,-0.00021260000000000002,0.05,270,0,461,2.9
188,-0.0012000000000000001,-0.0002124,0.05,270,0,461,2.9
189,0.0,-0.0002122,0.05,270,0,461,2.9
190,0.0,-0.000212,0.05,270,0,461,2.9
191,-0.0012000000000000001,-0.0002118,0.05,270,0,461,2.9
192,-0.0004,-0.0002116,0.05,270,0,461,2.9
