,Mediciónes,Tiempo,Tiempo de integración [ms],Polarizacion grande,Polarizacion chica,Resistencia,Voltaje disco
0,0.0004,-5e-05,0.01,50,0,50,0
1,0.0008,-4.996e-05,0.01,50,0,50,0
2,0.0004,-4.992e-05,0.01,50,0,50,0
3,0.0004,-4.9880000000000004e-05,0.01,50,0,50,0
4,0.0,-4.9840000000000004e-05,0.01,50,0,50,0
5,-0.0008,-4.9800000000000004e-05,0.01,50,0,50,0
6,-0.0004,-4.9760000000000005e-05,0.01,50,0,50,0
7,-0.0004,-4.9720000000000005e-05,0.01,50,0,50,0
8,0.0008,-4.9680000000000005e-05,0.01,50,0,50,0
9,0.0008,-4.964e-05,0.01,50,0,50,0
10,-0.0008,-4.96e-05,0.01,50,0,50,0
11,0.0,-4.956e-05,0.01,50,0,50,0
12,-0.0008,-4.952e-05,0.01,50,0,50,0
13,0.0008,-4.948e-05,0.01,50,0,50,0
14,0.0012000000000000001,-4.944e-05,0.01,50,0,50,0
15,0.0,-4.94e-05,0.01,50,0,50,0
16,-0.0004,-4.936e-05,0.01,50,0,50,0
17,-0.0008,-4.932e-05,0.01,50,0,50,0
18,0.0008,-4.928e-05,0.01,50,0,50,0
19,0.0016,-4.924e-05,0.01,50,0,50,0
20,0.0,-4.92e-05,0.01,50,0,50,0
21,0.0008,-4.9160000000000004e-05,0.01,50,0,50,0
22,0.0,-4.9120000000000004e-05,0.01,50,0,50,0
23,0.0,-4.9080000000000004e-05,0.01,50,0,50,0
24,0.0012000000000000001,-4.9040000000000005e-05,0.01,50,0,50,0
25,-0.0004,-4.9000000000000005e-05,0.01,50,0,50,0
26,0.0008,-4.8960000000000006e-05,0.01,50,0,50,0
27,0.0012000000000000001,-4.892e-05,0.01,50,0,50,0
28,0.0016,-4.888e-05,0.01,50,0,50,0
29,0.0012000000000000001,-4.884e-05,0.01,50,0,50,0
30,0.0008,-4.88e-05,0.01,50,0,50,0
31,0.0008,-4.876e-05,0.01,50,0,50,0
32,0.002,-4.872e-05,0.01,50,0,50,0
33,0.0008,-4.868e-05,0.01,50,0,50,0
34,0.0016,-4.864e-05,0.01,50,0,50,0
35,-0.0004,-4.86e-05,0.01,50,0,50,0
36,-0.0004,-4.856e-05,0.01,50,0,50,0
37,0.0008,-4.852e-05,0.01,50,0,50,0
38,0.0004,-4.8480000000000003e-05,0.01,50,0,50,0
39,0.0004,-4.8440000000000004e-05,0.01,50,0,50,0
40,0.0,-4.8400000000000004e-05,0.01,50,0,50,0
41,-0.0008,-4.8360000000000005e-05,0.01,50,0,50,0
42,0.0,-4.8320000000000005e-05,0.01,50,0,50,0
43,-0.0004,-4.8280000000000005e-05,0.01,50,0,50,0
44,0.0012000000000000001,-4.824e-05,0.01,50,0,50,0
45,0.0016,-4.82e-05,0.01,50,0,50,0
46,0.0004,-4.816e-05,0.01,50,0,50,0
47,0.0,-4.812e-05,0.01,50,0,50,0
48,0.0008,-4.808e-05,0.01,50,0,50,0
49,0.0012000000000000001,-4.804e-05,0.01,50,0,50,0
50,0.002,-4.8e-05,0.01,50,0,50,0
51,0.0008,-4.796e-05,0.01,50,0,50,0
52,0.0008,-4.792e-05,0.01,50,0,50,0
53,0.0,-4.788e-05,0.01,50,0,50,0
54,0.0004,-4.784e-05,0.01,50,0,50,0
55,0.0,-4.78e-05,0.01,50,0,50,0
56,-0.0004,-4.7760000000000004e-05,0.01,50,0,50,0
57,0.0004,-4.7720000000000004e-05,0.01,50,0,50,0
58,0.0016,-4.7680000000000004e-05,0.01,50,0,50,0
59,0.0008,-4.7640000000000005e-05,0.01,50,0,50,0
60,0.0004,-4.7600000000000005e-05,0.01,50,0,50,0
61,-0.0004,-4.7560000000000005e-05,0.01,50,0,50,0
62,0.0004,-4.7520000000000006e-05,0.01,50,0,50,0
63,0.0016,-4.748e-05,0.01,50,0,50,0
64,0.0012000000000000001,-4.744e-05,0.01,50,0,50,0
65,0.0008,-4.74e-05,0.01,50,0,50,0
66,-0.0008,-4.736e-05,0.01,50,0,50,0
67,0.0,-4.732e-05,0.01,50,0,50,0
68,0.0,-4.728e-05,0.01,50,0,50,0
69,0.0,-4.724e-05,0.01,50,0,50,0
70,0.0008,-4.72e-05,0.01,50,0,50,0
71,0.0,-4.716e-05,0.01,50,0,50,0
72,-0.0008,-4.712e-05,0.01,50,0,50,0
73,0.0016,-4.708e-05,0.01,50,0,50,0
74,-0.0004,-4.7040000000000004e-05,0.01,50,0,50,0
75,0.0016,-4.7000000000000004e-05,0.01,50,0,50,0
76,0.0028,-4.6960000000000004e-05,0.01,50,0,50,0
77,0.0,-4.6920000000000005e-05,0.01,50,0,50,0
78,0.0012000000000000001,-4.6880000000000005e-05,0.01,50,0,50,0
79,0.0004,-4.6840000000000006e-05,0.01,50,0,50,0
80,0.0012000000000000001,-4.68e-05,0.01,50,0,50,0
81,0.0016,-4.676e-05,0.01,50,0,50,0
82,0.0008,-4.672e-05,0.01,50,0,50,0
83,0.002,-4.668e-05,0.01,50,0,50,0
84,0.0004,-4.664e-05,0.01,50,0,50,0
85,0.0004,-4.66e-05,0.01,50,0,50,0
86,0.0008,-4.656e-05,0.01,50,0,50,0
87,0.0,-4.652e-05,0.01,50,0,50,0
88,0.0008,-4.648e-05,0.01,50,0,50,0
89,0.0016,-4.644e-05,0.01,50,0,50,0
90,0.0004,-4.64e-05,0.01,50,0,50,0
91,0.0016,-4.636e-05,0.01,50,0,50,0
92,0.0004,-4.6320000000000004e-05,0.01,50,0,50,0
93,0.002,-4.6280000000000004e-05,0.01,50,0,50,0
94,0.0008,-4.6240000000000005e-05,0.01,50,0,50,0
95,0.0008,-4.6200000000000005e-05,0.01,50,0,50,0
96,0.0008,-4.6160000000000005e-05,0.01,50,0,50,0
97,0.0,-4.612e-05,0.01,50,0,50,0
98,0.0008,-4.6080000000000006e-05,0.01,50,0,50,0
99,-0.0004,-4.604e-05,0.01,50,0,50,0
100,0.0008,-4.6e-05,0.01,50,0,50,0
101,0.0012000000000000001,-4.596e-05,0.01,50,0,50,0
102,0.0004,-4.592e-05,0.01,50,0,50,0
103,0.0,-4.588e-05,0.01,50,0,50,0
104,0.0004,-4.584e-05,0.01,50,0,50,0
105,0.0,-4.58e-05,0.01,50,0,50,0
106,0.0016,-4.576e-05,0.01,50,0,50,0
107,0.0008,-4.572e-05,0.01,50,0,50,0
108,0.0004,-4.568e-05,0.01,50,0,50,0
109,0.0016,-4.5640000000000003e-05,0.01,50,0,50,0
110,0.0012000000000000001,-4.5600000000000004e-05,0.01,50,0,50,0
111,0.0012000000000000001,-4.5560000000000004e-05,0.01,50,0,50,0
112,0.0016,-4.5520000000000005e-05,0.01,50,0,50,0
113,0.0008,-4.5480000000000005e-05,0.01,50,0,50,0
114,0.0008,-4.544e-05,0.01,50,0,50,0
115,0.0008,-4.5400000000000006e-05,0.01,50,0,50,0
116,0.0008,-4.536e-05,0.01,50,0,50,0
117,0.0016,-4.532e-05,0.01,50,0,50,0
118,0.0004,-4.528e-05,0.01,50,0,50,0
119,0.0012000000000000001,-4.524e-05,0.01,50,0,50,0
120,0.0008,-4.52e-05,0.01,50,0,50,0
121,0.0004,-4.516e-05,0.01,50,0,50,0
122,0.0008,-4.512e-05,0.01,50,0,50,0
123,0.0,-4.508e-05,0.01,50,0,50,0
124,0.0004,-4.504e-05,0.01,50,0,50,0
125,-0.0004,-4.5e-05,0.01,50,0,50,0
126,0.0004,-4.496e-05,0.01,50,0,50,0
127,0.0,-4.4920000000000004e-05,0.01,50,0,50,0
128,-0.0004,-4.4880000000000004e-05,0.01,50,0,50,0
129,0.0008,-4.4840000000000004e-05,0.01,50,0,50,0
130,0.0004,-4.4800000000000005e-05,0.01,50,0,50,0
131,0.0008,-4.4760000000000005e-05,0.01,50,0,50,0
132,0.002,-4.4720000000000006e-05,0.01,50,0,50,0
133,0.0,-4.468e-05,0.01,50,0,50,0
134,0.0,-4.464e-05,0.01,50,0,50,0
135,0.0,-4.46e-05,0.01,50,0,50,0
136,0.0008,-4.456e-05,0.01,50,0,50,0
137,0.0024000000000000002,-4.452e-05,0.01,50,0,50,0
138,0.0008,-4.448e-05,0.01,50,0,50,0
139,0.0008,-4.444e-05,0.01,50,0,50,0
140,0.0004,-4.44e-05,0.01,50,0,50,0
