,Mediciónes,Tiempo,Tiempo de integración [ms],Polarizacion grande,Polarizacion chica,Resistencia,Voltaje disco
0,-0.064,-0.125,25,0,0,10000,2.2
1,-0.048,-0.1249,25,0,0,10000,2.2
2,-0.064,-0.1248,25,0,0,10000,2.2
3,-0.088,-0.1247,25,0,0,10000,2.2
4,-0.064,-0.1246,25,0,0,10000,2.2
5,-0.064,-0.1245,25,0,0,10000,2.2
6,-0.032,-0.1244,25,0,0,10000,2.2
7,-0.048,-0.1243,25,0,0,10000,2.2
8,-0.048,-0.1242,25,0,0,10000,2.2
9,-0.048,-0.1241,25,0,0,10000,2.2
10,-0.032,-0.124,25,0,0,10000,2.2
11,-0.024,-0.1239,25,0,0,10000,2.2
12,-0.04,-0.1238,25,0,0,10000,2.2
13,-0.04,-0.1237,25,0,0,10000,2.2
14,-0.07200000000000001,-0.1236,25,0,0,10000,2.2
15,-0.056,-0.1235,25,0,0,10000,2.2
16,-0.024,-0.1234,25,0,0,10000,2.2
17,-0.056,-0.12329999999999999,25,0,0,10000,2.2
18,-0.064,-0.1232,25,0,0,10000,2.2
19,-0.04,-0.1231,25,0,0,10000,2.2
20,-0.07200000000000001,-0.123,25,0,0,10000,2.2
21,-0.088,-0.1229,25,0,0,10000,2.2
22,-0.04,-0.1228,25,0,0,10000,2.2
23,-0.07200000000000001,-0.1227,25,0,0,10000,2.2
24,-0.07200000000000001,-0.1226,25,0,0,10000,2.2
25,-0.08,-0.1225,25,0,0,10000,2.2
26,-0.064,-0.1224,25,0,0,10000,2.2
27,-0.048,-0.1223,25,0,0,10000,2.2
28,-0.048,-0.1222,25,0,0,10000,2.2
29,-0.096,-0.1221,25,0,0,10000,2.2
30,-0.088,-0.122,25,0,0,10000,2.2
31,-0.088,-0.1219,25,0,0,10000,2.2
32,-0.08,-0.1218,25,0,0,10000,2.2
33,-0.048,-0.1217,25,0,0,10000,2.2
34,-0.048,-0.1216,25,0,0,10000,2.2
35,-0.056,-0.1215,25,0,0,10000,2.2
36,-0.064,-0.1214,25,0,0,10000,2.2
37,-0.07200000000000001,-0.1213,25,0,0,10000,2.2
38,-0.064,-0.1212,25,0,0,10000,2.2
39,-0.032,-0.1211,25,0,0,10000,2.2
40,-0.048,-0.121,25,0,0,10000,2.2
41,-0.088,-0.1209,25,0,0,10000,2.2
42,-0.10400000000000001,-0.1208,25,0,0,10000,2.2
43,-0.048,-0.1207,25,0,0,10000,2.2
44,-0.07200000000000001,-0.1206,25,0,0,10000,2.2
45,-0.048,-0.1205,25,0,0,10000,2.2
46,-0.07200000000000001,-0.12040000000000001,25,0,0,10000,2.2
47,-0.056,-0.1203,25,0,0,10000,2.2
48,-0.056,-0.1202,25,0,0,10000,2.2
49,-0.04,-0.1201,25,0,0,10000,2.2
50,-0.088,-0.12,25,0,0,10000,2.2
51,-0.064,-0.1199,25,0,0,10000,2.2
52,-0.088,-0.1198,25,0,0,10000,2.2
53,-0.064,-0.1197,25,0,0,10000,2.2
54,-0.08,-0.1196,25,0,0,10000,2.2
55,-0.07200000000000001,-0.1195,25,0,0,10000,2.2
56,-0.064,-0.1194,25,0,0,10000,2.2
57,-0.12,-0.1193,25,0,0,10000,2.2
58,-0.08,-0.1192,25,0,0,10000,2.2
59,-0.12,-0.1191,25,0,0,10000,2.2
