,Mediciónes,Tiempo,Tiempo de integración [ms],Polarizacion grande,Polarizacion chica,Resistencia,Voltaje disco
0,-0.0008,-0.000125,25,40,0,10000,3.3
1,-0.0032,-0.0001249,25,40,0,10000,3.3
2,-0.0016,-0.0001248,25,40,0,10000,3.3
3,-0.0008,-0.0001247,25,40,0,10000,3.3
4,-0.0024000000000000002,-0.0001246,25,40,0,10000,3.3
5,-0.0008,-0.0001245,25,40,0,10000,3.3
6,0.0,-0.00012440000000000002,25,40,0,10000,3.3
7,-0.0008,-0.0001243,25,40,0,10000,3.3
8,0.0024000000000000002,-0.0001242,25,40,0,10000,3.3
9,-0.0032,-0.0001241,25,40,0,10000,3.3
10,0.0024000000000000002,-0.000124,25,40,0,10000,3.3
11,-0.0016,-0.0001239,25,40,0,10000,3.3
12,0.0,-0.0001238,25,40,0,10000,3.3
13,-0.0008,-0.0001237,25,40,0,10000,3.3
14,0.0024000000000000002,-0.0001236,25,40,0,10000,3.3
15,0.0032,-0.0001235,25,40,0,10000,3.3
16,0.0032,-0.0001234,25,40,0,10000,3.3
17,0.0016,-0.00012330000000000002,25,40,0,10000,3.3
18,0.004,-0.0001232,25,40,0,10000,3.3
19,0.0016,-0.0001231,25,40,0,10000,3.3
20,0.0032,-0.000123,25,40,0,10000,3.3
21,0.0008,-0.0001229,25,40,0,10000,3.3
22,0.0016,-0.0001228,25,40,0,10000,3.3
23,0.0008,-0.0001227,25,40,0,10000,3.3
24,0.0024000000000000002,-0.0001226,25,40,0,10000,3.3
25,0.004,-0.0001225,25,40,0,10000,3.3
26,0.0016,-0.0001224,25,40,0,10000,3.3
27,0.0024000000000000002,-0.0001223,25,40,0,10000,3.3
28,0.0008,-0.00012220000000000002,25,40,0,10000,3.3
29,0.0008,-0.0001221,25,40,0,10000,3.3
30,0.0016,-0.000122,25,40,0,10000,3.3
31,0.0032,-0.00012190000000000001,25,40,0,10000,3.3
32,0.0016,-0.0001218,25,40,0,10000,3.3
33,-0.0024000000000000002,-0.0001217,25,40,0,10000,3.3
34,-0.0024000000000000002,-0.0001216,25,40,0,10000,3.3
35,0.0016,-0.0001215,25,40,0,10000,3.3
36,-0.0008,-0.0001214,25,40,0,10000,3.3
37,0.0032,-0.00012130000000000001,25,40,0,10000,3.3
38,0.0,-0.0001212,25,40,0,10000,3.3
39,0.0008,-0.0001211,25,40,0,10000,3.3
40,0.0016,-0.000121,25,40,0,10000,3.3
41,0.0,-0.0001209,25,40,0,10000,3.3
42,-0.0008,-0.00012080000000000001,25,40,0,10000,3.3
43,-0.0008,-0.0001207,25,40,0,10000,3.3
44,0.0008,-0.0001206,25,40,0,10000,3.3
45,0.0032,-0.0001205,25,40,0,10000,3.3
46,-0.0024000000000000002,-0.0001204,25,40,0,10000,3.3
47,0.004,-0.0001203,25,40,0,10000,3.3
48,0.0,-0.00012020000000000001,25,40,0,10000,3.3
49,0.004,-0.0001201,25,40,0,10000,3.3
50,0.0032,-0.00012,25,40,0,10000,3.3
51,0.0048000000000000004,-0.0001199,25,40,0,10000,3.3
52,-0.0008,-0.0001198,25,40,0,10000,3.3
53,0.0024000000000000002,-0.00011970000000000001,25,40,0,10000,3.3
54,0.0032,-0.00011960000000000001,25,40,0,10000,3.3
55,0.0008,-0.0001195,25,40,0,10000,3.3
56,0.0,-0.0001194,25,40,0,10000,3.3
57,0.0,-0.0001193,25,40,0,10000,3.3
58,-0.0016,-0.0001192,25,40,0,10000,3.3
59,0.0032,-0.00011910000000000001,25,40,0,10000,3.3
60,0.0,-0.000119,25,40,0,10000,3.3
61,0.0016,-0.0001189,25,40,0,10000,3.3
62,0.0,-0.0001188,25,40,0,10000,3.3
63,-0.0008,-0.0001187,25,40,0,10000,3.3
64,-0.0024000000000000002,-0.00011860000000000001,25,40,0,10000,3.3
65,-0.0008,-0.00011850000000000001,25,40,0,10000,3.3
66,-0.0024000000000000002,-0.0001184,25,40,0,10000,3.3
67,-0.0008,-0.0001183,25,40,0,10000,3.3
68,-0.0032,-0.0001182,25,40,0,10000,3.3
69,-0.0016,-0.0001181,25,40,0,10000,3.3
70,-0.0008,-0.00011800000000000001,25,40,0,10000,3.3
