,Mediciónes,Tiempo,Tiempo de integración [ms],Polarizacion grande,Polarizacion chica,Resistencia,Voltaje disco
0,-0.0024000000000000002,-2.5e-05,0.005,310,0,5000,3.6
1,-0.0016,-2.498e-05,0.005,310,0,5000,3.6
2,0.0,-2.496e-05,0.005,310,0,5000,3.6
3,0.0012000000000000001,-2.4940000000000002e-05,0.005,310,0,5000,3.6
4,0.0004,-2.4920000000000002e-05,0.005,310,0,5000,3.6
5,-0.0008,-2.4900000000000002e-05,0.005,310,0,5000,3.6
6,-0.0004,-2.4880000000000002e-05,0.005,310,0,5000,3.6
7,0.0012000000000000001,-2.4860000000000003e-05,0.005,310,0,5000,3.6
8,0.0024000000000000002,-2.4840000000000003e-05,0.005,310,0,5000,3.6
9,0.0012000000000000001,-2.482e-05,0.005,310,0,5000,3.6
10,0.0,-2.48e-05,0.005,310,0,5000,3.6
11,0.0012000000000000001,-2.478e-05,0.005,310,0,5000,3.6
12,0.004,-2.476e-05,0.005,310,0,5000,3.6
13,0.0048000000000000004,-2.474e-05,0.005,310,0,5000,3.6
14,0.0036000000000000003,-2.472e-05,0.005,310,0,5000,3.6
15,0.0032,-2.47e-05,0.005,310,0,5000,3.6
16,0.0028,-2.468e-05,0.005,310,0,5000,3.6
17,0.004,-2.466e-05,0.005,310,0,5000,3.6
18,0.004,-2.464e-05,0.005,310,0,5000,3.6
19,0.0016,-2.462e-05,0.005,310,0,5000,3.6
20,-0.0008,-2.46e-05,0.005,310,0,5000,3.6
21,0.0004,-2.4580000000000002e-05,0.005,310,0,5000,3.6
22,-0.0004,-2.4560000000000002e-05,0.005,310,0,5000,3.6
23,0.0004,-2.4540000000000002e-05,0.005,310,0,5000,3.6
24,0.0008,-2.4520000000000002e-05,0.005,310,0,5000,3.6
25,0.0012000000000000001,-2.4500000000000003e-05,0.005,310,0,5000,3.6
26,0.002,-2.4480000000000003e-05,0.005,310,0,5000,3.6
27,0.002,-2.446e-05,0.005,310,0,5000,3.6
28,0.0024000000000000002,-2.444e-05,0.005,310,0,5000,3.6
29,0.0028,-2.442e-05,0.005,310,0,5000,3.6
30,0.0012000000000000001,-2.44e-05,0.005,310,0,5000,3.6
31,-0.0008,-2.438e-05,0.005,310,0,5000,3.6
32,-0.0016,-2.436e-05,0.005,310,0,5000,3.6
33,0.0,-2.434e-05,0.005,310,0,5000,3.6
34,0.0004,-2.432e-05,0.005,310,0,5000,3.6
35,-0.0004,-2.43e-05,0.005,310,0,5000,3.6
36,-0.0016,-2.428e-05,0.005,310,0,5000,3.6
